,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1533,2016-01-29,BTCUSD,"380,92","383,97","365,0","379,39","973,71","366715,98"
1534,2016-01-28,BTCUSD,"395,54","395,54","378,36","380,92","479,25","184161,73"
1535,2016-01-27,BTCUSD,"389,0","396,99","389,0","395,54","652,15","257391,75"
1536,2016-01-26,BTCUSD,"393,08","396,79","389,0","389,0","1061,9","417990,16"
1537,2016-01-25,BTCUSD,"401,74","403,6","387,65","393,08","1085,8","427392,05"
1538,2016-01-24,BTCUSD,"387,8","404,24","383,57","401,74","492,46","195967,96"
1539,2016-01-23,BTCUSD,"393,0","411,0","380,03","387,8","198,13","77017,19"
1540,2016-01-22,BTCUSD,"412,14","416,99","375,0","393,0","2505,96","977136,8"
1541,2016-01-21,BTCUSD,"417,51","425,38","405,0","412,14","1558,93","638247,28"
1542,2016-01-20,BTCUSD,"380,58","423,19","376,27","417,51","3195,25","1300414,35"
1543,2016-01-19,BTCUSD,"385,03","385,53","376,33","380,58","4096,72","1557914,34"
1544,2016-01-18,BTCUSD,"383,9","387,25","374,83","385,03","2854,76","1099063,99"
1545,2016-01-17,BTCUSD,"384,25","389,85","380,19","383,9","205,95","79204,39"
1546,2016-01-16,BTCUSD,"372,04","386,27","353,32","384,25","778,19","291177,44"
1547,2016-01-15,BTCUSD,"430,42","431,31","358,74","372,04","1724,16","677966,57"
1548,2016-01-14,BTCUSD,"431,68","433,99","426,75","430,42","502,66","216413,12"
1549,2016-01-13,BTCUSD,"445,4","445,4","420,0","431,68","970,73","415972,32"
1550,2016-01-12,BTCUSD,"451,28","451,28","444,11","445,4","727,12","324599,67"
1551,2016-01-11,BTCUSD,"444,6","451,64","444,6","451,28","464,17","207924,92"
1552,2016-01-10,BTCUSD,"450,11","450,11","440,01","444,6","17,18","7640,4"
1553,2016-01-09,BTCUSD,"456,68","456,68","446,33","450,11","188,38","84963,85"
1554,2016-01-08,BTCUSD,"457,0","464,0","448,52","456,68","889,37","405467,61"
1555,2016-01-07,BTCUSD,"431,1","457,0","430,89","457,0","1697,75","760356,83"
1556,2016-01-06,BTCUSD,"432,98","433,99","427,88","431,1","386,6","166807,9"
1557,2016-01-05,BTCUSD,"435,0","435,63","431,55","432,98","259,72","112388,29"
1558,2016-01-04,BTCUSD,"424,26","436,49","424,26","435,0","485,66","209194,1"
1559,2016-01-03,BTCUSD,"435,75","437,99","409,11","424,26","496,07","209726,77"
1560,2016-01-02,BTCUSD,"434,55","439,53","432,7","435,75","107,57","46885,15"
1561,2016-01-01,BTCUSD,"432,5","437,8","429,95","434,55","110,55","48057,58"
1562,2015-12-31,BTCUSD,"428,24","434,99","422,01","432,5","206,93","89190,89"
1563,2015-12-30,BTCUSD,"430,76","436,79","422,1","428,24","211,58","90822,73"
1564,2015-12-29,BTCUSD,"420,8","434,26","420,8","430,76","742,14","317103,63"
1565,2015-12-28,BTCUSD,"422,06","429,31","418,53","420,8","89,53","37899,56"
1566,2015-12-27,BTCUSD,"418,72","423,64","407,77","422,06","172,62","71710,65"
1567,2015-12-26,BTCUSD,"458,59","458,59","407,07","418,72","387,26","164472,22"
1568,2015-12-25,BTCUSD,"455,46","461,86","453,99","458,59","79,34","36386,66"
1569,2015-12-24,BTCUSD,"444,54","457,22","444,54","455,46","375,44","169870,08"
1570,2015-12-23,BTCUSD,"435,82","444,71","435,75","444,54","411,18","181367,62"
